"id","name","artists","artist_ids","energy","loudness","speechiness","valence","tempo","duration_ms"
"69s7HSWoOKEsaBm51gTTgV","Sol de Primavera - Spring Sunshine","['Gonzalo Vargas', 'Inkuyo']","['2uo6i3LKZWHgYqpy9LM7fJ', '6l0qnbpSfHw1vk6tQUquDt']",0.28,-17.9,0.06,0.94,72.33,262440
"01mJcWuXUWwG36QHJoqmZ9","La Inundacion","['Vitin Aviles']","['05KeKcvDkuqjtgp2IZcfco']",0.73,-6.86,0.06,0.97,72.34,254187
"58o9VwKtUgi5bJtCsu7jDV","Sarama","['Vieux Farka Touré']","['4PmxbsWP1u0TnvqcrIA9ze']",0.88,-5.3,0.07,0.91,72.55,321747
"2LJlCj28IryW81XccXvfSH","Reggae-Mylitis","['Peter Tosh']","['0oea1hwGMfUxZbLxJc1XUN']",0.51,-7.38,0.08,0.92,72.65,390827
"0cN9LqJCppo6LY1utnkQIk","Disorder at the Border (Version 2) - Live","['Coleman Hawkins']","['0JM134st8VY7Ld9T2wQiH0']",0.54,-11.62,0.09,0.91,72.69,202960
"0bEmLJoKIFXt4hCmac3rD1","Hoy","['Gomba Jahbari']","['3q9LLc7LLFwXnDzKE9U24c']",0.64,-6.17,0.07,0.96,72.88,223507
"4yPK5tbw96Osq06IqDN76c","Dear Melvyn","['Anthony']","['1IIXqLLAVzU4mnJIq82ZqI']",0.81,-9.45,0.08,0.93,72.9,212320
"7CmtFF3neRt3wztNthskcR","Who's Your Daddy?","['Thaddeus Carlton']","['4XGZj2G3Rwr8nero21TaV8']",0.34,-14.2,0.06,0.92,72.99,347120
"2usDmegBsk3wuvISHhuDcp","One Master","['Junior Demus']","['5IFrtFQVF41xZVKgfCtnlj']",0.72,-9.97,0.32,0.94,73.18,271200
"2dJ68e6cVYuVAYzD4CA4Cn","Hot Tub Lovin'","['Clint Crisher']","['65meLzGbjqKWohQHTD6bVM']",0.53,-15.59,0.06,0.94,73.31,254040
"2Z2uFm147fKvXu53UaXL95","I Wanna","['Rysk Framtiden']","['4NHR8ZG6WZ8p8UNoFJrxKB']",0.76,-4.61,0.53,0.91,73.4,219167
